Time,is_action,is_modbus_error,is_state_refresh,targets,message
2026-02-11 00:34:04.588334,False,False,True,pump-ULS-LLS,
2026-02-11 00:34:04.592469,True,False,False,pump,pump on from LLS
2026-02-11 00:34:12.784570,False,False,True,pump-ULS-LLS,
2026-02-11 00:34:19.508847,True,False,False,pump,pump off from ULS
2026-02-11 00:34:20.871177,False,False,True,pump-ULS-LLS,
2026-02-11 00:34:28.869230,False,False,True,pump-ULS-LLS,
2026-02-11 00:34:30.037098,True,False,False,pump,pump on from LLS
2026-02-11 00:34:36.832975,False,False,True,pump-ULS-LLS,
2026-02-11 00:34:40.534045,True,False,False,pump,pump off from ULS
2026-02-11 00:34:44.603332,False,False,True,pump-ULS-LLS,
2026-02-11 00:34:51.046410,True,False,False,pump,pump on from LLS
2026-02-11 00:34:52.378765,False,False,True,pump-ULS-LLS,
2026-02-11 00:35:00.165321,False,False,True,pump-ULS-LLS,
2026-02-11 00:35:01.558831,True,False,False,pump,pump off from ULS
2026-02-11 00:35:07.933143,False,False,True,pump-ULS-LLS,
2026-02-11 00:35:12.070881,True,False,False,pump,pump on from LLS
2026-02-11 00:35:15.880449,False,False,True,pump-ULS-LLS,
2026-02-11 00:35:22.584486,True,False,False,pump,pump off from ULS
2026-02-11 00:35:23.670700,False,False,True,pump-ULS-LLS,
2026-02-11 00:35:31.846194,False,False,True,pump-ULS-LLS,
2026-02-11 00:35:33.097284,True,False,False,pump,pump on from LLS
2026-02-11 00:35:39.630341,False,False,True,pump-ULS-LLS,
2026-02-11 00:35:43.610202,True,False,False,pump,pump off from ULS
2026-02-11 00:35:47.524453,False,False,True,pump-ULS-LLS,
2026-02-11 00:35:54.122575,True,False,False,pump,pump on from LLS
2026-02-11 00:35:55.430531,False,False,True,pump-ULS-LLS,
2026-02-11 00:36:03.270149,False,False,True,pump-ULS-LLS,
2026-02-11 00:36:04.634777,True,False,False,pump,pump off from ULS
2026-02-11 00:36:11.289933,False,False,True,pump-ULS-LLS,
2026-02-11 00:36:15.147384,True,False,False,pump,pump on from LLS
2026-02-11 00:36:19.051298,False,False,True,pump-ULS-LLS,
2026-02-11 00:36:25.659930,True,False,False,pump,pump off from ULS
2026-02-11 00:36:26.863441,False,False,True,pump-ULS-LLS,
2026-02-11 00:36:34.634102,False,False,True,pump-ULS-LLS,
2026-02-11 00:36:36.172563,True,False,False,pump,pump on from LLS
2026-02-11 00:36:42.415473,False,False,True,pump-ULS-LLS,
2026-02-11 00:36:46.685099,True,False,False,pump,pump off from ULS
2026-02-11 00:36:50.194336,False,False,True,pump-ULS-LLS,
2026-02-11 00:36:57.197762,True,False,False,pump,pump on from LLS
2026-02-11 00:36:58.050577,False,False,True,pump-ULS-LLS,
2026-02-11 00:37:06.143993,False,False,True,pump-ULS-LLS,
2026-02-11 00:37:07.710934,True,False,False,pump,pump off from ULS
2026-02-11 00:37:13.926769,False,False,True,pump-ULS-LLS,
2026-02-11 00:37:18.224350,True,False,False,pump,pump on from LLS
2026-02-11 00:37:21.793867,False,False,True,pump-ULS-LLS,
2026-02-11 00:37:28.737276,True,False,False,pump,pump off from ULS
2026-02-11 00:37:29.748173,False,False,True,pump-ULS-LLS,
2026-02-11 00:37:37.576592,False,False,True,pump-ULS-LLS,
2026-02-11 00:37:39.250320,True,False,False,pump,pump on from LLS
2026-02-11 00:37:45.347285,False,False,True,pump-ULS-LLS,
2026-02-11 00:37:49.762312,True,False,False,pump,pump off from ULS
